Text	French	Wolof	English	Arabic	Emoji	Sereer	Pulaar	Other	Comments
Loula nekh wahal president0:00 / 0:30	0	2	0	0	0	0	0	0	
Ça me rappelle quand on battait dans la rue, et qu’on me séparait de mon adversaire en me ramenant à la maison. Et à partir de la maison je lançais des insanités et des insultes à mon adversaire.Macky est à côté de Macron....	2	0	0	0	0	0	0	0	
'Tu n''as rien compris tu n''as pas mérité je suis déçu à toi parce que tu n''as pas de conseil en plus tu ne penses pas Macky Sall la façon que tu parles ça c''est par une parole le président de la République partout dans le monde il y a des oppositions'	2	0	0	0	0	0	0	0	
Président Sale, parasite de la République privée du Sénégal 😴👨🏽‍🦯	2	0	0	0	1	0	0	0	
Goor day dèegerMacky meilleur ❤️❤️🇸🇳🇸🇳💪💪	1	2	0	0	1	0	0	0	
Yaw tu nous fais honte	2	1	0	0	0	0	0	0	yaw
La vraie noblesse est incarnée par El hadji Mansour Mbaye.Que Dieu le Laisse longtemps parmi nous avec une santé de fer ? Amine	2	1	0	1	0	0	0	0	
'On s''en bat les couilles 🥶'	0	0	0	0	1	0	0	0	
Rousna ! je quitte votre pays	2	1	0	0	0	0	0	0	
'Dagua bew mais c''est la fin du règne'	2	1	0	0	0	0	0	0	
Bilay ki come chef de gare	2	1	0	0	0	0	0	0	
President bou niake diome bi	0	2	0	0	0	0	0	0	
Pauvre MBAYE pekh	2	0	0	0	0	0	0	0	
Wakhou tapet laffi deg	0	2	0	0	0	0	0	0	
Douma si débat 😂😂😂😂😂😂😂😂	0	2	0	0	2	0	0	0	no Wolof equivalent for debat, → French
'Après les félicitations, qu''il nous rende notre pays en toute tranquillité, en 2024Nul n''est indispensable, on est plus 16milion.'	2	0	0	0	0	0	0	0	
XXXX mdr 😃😀	2	0	0	0	2	0	0	0	
Ki Di diotali mi est ce que sava ??🙄🙄🙄	0	0	0	0	1	0	0	0	
Yoro dara ...gour yalla rek mofiye dess ...avec toi Senegal dafa def marche arriere....affaire bii dou affairou feugue deuneu comme tu as l,habitude mais faire avancer le pays...	1	2	0	0	0	0	0	0	affaire in Wolof → 2
Franchement il est décevant un petit homme	2	0	0	0	0	0	0	0	
Djadieuf Diambar. Le peuple est avec toi.	2	1	0	0	0	0	0	0	
'Barki yallah Sénégal Dou deuk. Puréee c''est lui notre président 🤮🤮🤮'	2	1	0	0	1	0	0	0	C’est → 2 morphemes
Nganiii sommet de la paix nga demonnn niiii diiiii teukou. Khamo sa wareffff deh parsidant	0	2	0	0	0	0	0	0	no Wolof for sommet de la paix → Wolof
Macky amoul diomm	0	2	0	0	0	0	0	0	
'C''est quoi APR DSE FRANCE ?'	2	0	0	0	0	0	0	0	
Lolll pour iow yor gua lep sa lokho y’a nakh sa bop nak 😂😂 mais bakh na Li toubab di wakhe personne n’est plus aveugle que celui qui ne veut pas voir. Ton réveil sera brutal	1	2	1	0	1	0	0	0	lolll, parallel sents
Lep dina diogué sa lokho fourasssss 🤏🏽- rien n’est eternel Monsieur	1	2	0	0	0	0	0	0	
Tu as oublié quand tu es devant Serigne barra Mbacké tu pleures devant lui pour que mou wakh Ablaye wade mou ball la	0	2	0	0	0	0	0	0	
Néwo darra tous	0	2	0	0	0	0	0	0	darra +tous
Khana biga deme touba dy dioye boku thi	0	2	0	0	0	0	0	0	
'XXXX ton président c''est le genre de gamin qui amenait le ballon mais qu''on ne mettait jamais dans l''équipe parce qu''il sert pas à grand chose... Et qui, en rentrant, disait toujours, demain je vous montrerai que la balle est à moi😂😂. Niakk fayda thioo'	2	1	0	0	1	0	0	0	not embedded, added Wolof sentence
100%%	0	0	0	0	0	0	0	2	numbers
XXXX 😂😂😂😂😂L’homme qui cède pas aux chantages	2	0	0	0	1	0	0	0	
Il a vraiment peur notre persidan 😂😂😂	2	0	0	0	1	0	0	0	
La paix	2	0	0	0	0	0	0	0	
'Serigne bara a Macky : goor dou dioye faté khadioufi tes menaces on s''en tape'	2	1	0	0	0	0	0	0	
'mm pour répondre à l''opposition, il est obligé d''aller à l''étranger, en fait il quitte le palais (le pays) donc c''est lui qui est reduit à sa plus simple expression 😅😂🤣'	2	0	0	0	1	0	0	0	
XXXX vraiment😂	2	0	0	0	1	0	0	0	
'C''est hallucinant. Président qui parle ainsi.'	2	0	0	0	0	0	0	0	
Serigne Bara devait te livré à ablaye Wade bamou niaf sa ndaye bou bakh kone taye do takhaw fi di doule tapéte bou bone bi chaque marche ga daw dém France	1	2	0	0	0	0	0	0	
'Réaction d''une femme'	2	0	0	0	0	0	0	0	
2012 je te voyais fuir avec ta voiture avant même que les lacrimogenes ne déclenche meusso am fitt mayniou djam isshhh	2	1	0	0	0	0	0	0	
'On n''est pas à la primaire Monsieur. Veillez sur la sécurité des Sénégalais c''est mieux de concentrer toutes les services de sécurité sur deux hommes, deux opposants politiques.ce n''est pas professionnel'	2	0	0	0	0	0	0	0	
De vrais comédiens qui n à pas honte pour ce pays ???	2	0	0	0	0	0	0	0	
Tu es incompetent	2	0	0	0	0	0	0	0	
'Il n''est pas digne d''être un chef d''état ,,un vrai c.....'	2	0	0	0	0	0	0	0	
What a disgrace🤣🤣🤣🤣	0	0	2	0	1	0	0	0	
Mbaye pekh yama rouslo thimm	0	2	0	0	0	0	0	1	thimm
2012 c’est pas 2021! Les temps changent! L’enfant qui avait 9 ans a 18 ans mtn!LesMentalité changent	2	0	0	0	0	0	0	0	
Pekhhh gamo tousssss	0	2	0	0	0	0	0	0	
Vraiment chapeau a madame macky sallSoutien total a notre dame de la république🤔🤔	2	0	0	0	1	0	0	0	
'Avec tes paroles làMême procurer ses que c''est pas vrai'	2	0	0	0	0	0	0	0	
Il est allé prêt de macron pour dire ça ?	2	0	0	0	0	0	0	0	
Xolalma mbaye pexx rekk ils sont pitoyables c vieux	1	1	0	0	0	0	0	0	equal french wolof
Mdrrr ah birou maffe	1	2	0	0	0	0	0	0	mdrrr
Ndeysane Ibou ndaffa pros doflo nakko😄😄😄	0	2	0	0	1	0	0	1	pros
Pourquoi parler aillent chaque fois tu voyage	2	0	0	0	0	0	0	0	
Sheuteuteut mbaye pekh je ne peux plus me le voir la manière dont ce vieux m’énerve c’est trop	2	0	0	0	0	0	0	1	sheuteuteut
Seul chose macky a réussi c est montré au Sénégal, nek président dou touss... même MBAY pekh un p dvnir présidentNdeysan wade, Diouf avait tellement du charisme quand il etai à la télé nos père grand père maman disè kholen ndanann bii...	2	1	0	0	0	0	0	0	Embedded nek president dou touss
🤣🤣🤣🤣Mabye pekh il me fume	2	0	0	0	1	0	0	1	
'Je ne comprends toujours pourquoi Touba ne chasse pas ce griot de mbaye pekh franchement ce vieux n''a aucune dignité j''ai le coeur meurtri dignité zéro'	2	0	0	0	0	0	0	0	
'''‏‎Un adulte qui a la mentalité d''un enfant, fait plus mal à la tête qu''un enfant qui apprend à grandir. William Sinclair M.‎‏''‏'	2	0	0	0	0	0	0	0	
'''‏‎ASTEF Patriote du Sénégal Ndam Ndam Rek Team‎‏''‏‏'	2	0	0	0	0	0	0	0	
'''‏‎Avril 2015 à Kaffrine Novembre 2021 à Paris ×0 "Je vais réduire l''opposition à sa plus simple expression" "Personne ne peut m''intimider. Ken meunouma Khokhotal..." Khadim_bou_Sonko‎‏''‏'	2	1	0	0	0	0	0	0	translation duplicate
🐸	0	0	0	0	2	0	0	0	
😂😂	0	0	0	0	2	0	0	0	
0:00 / 0:29	0	0	0	0	0	0	0	2	
‏‏‏‏‎dog‎‏، ‏‎sorry‎‏‏، ‏‏‎sad‎‏، ‏‏‎guilty‎‏، ‏‎awww‎‏‏‏‏ و‏‎cute‎‏‏	0	0	0	0	2	0	0	0	
Totals:	131	83	3	1	32	0	0	8	
	1.31	0.83	0.03	0.01	0.32	0	0	0.08	
‏‏‏‏‏‎John Jonah Jameson‎‏، ‏‏‎lol‎‏، ‏‎Laughing Hysterically‎‏‏‏، ‏‏‏‎Laughing Out Loud‎‏، ‏‎funny‎‏‏، ‏‏‎surprised‎‏، ‏‎excited‎‏‏‏‏، ‏‏‏‏‎happy‎‏، ‏‎Jk Simmons‎‏‏، ‏‏‎omg‎‏، ‏‎smile‎‏‏‏، ‏‏‏‎haha‎‏، ‏‎omfg‎‏‏، ‏‏‎really‎‏، ‏‎amused‎‏‏‏‏‏ و‏‎grin‎‏‏									
0:00 / 0:16									
🤣🤣🤣									
<sticker>									
<sticker>									
😂😂😂🤭									
https://youtu.be/I6UdxzQT_QUNdeysane Voici les derniers messages vocal whatsapp de Thiaba Thiès qui va émouvoir beaucoup de gensYOUTUBE.COMNdeysane Voici les derniers messages vocal whatsapp de Thiaba Thiès qui va émouvoir beaucoup de gensNdeysane Voici les derniers messages vocal whatsapp de Thiaba Thiès qui va émouvoir beaucoup de gens									
'''‏‎J''offre une aide Gratuite aux Etudiants qui veulent faire une demande de PREINSCRIPTION POUR LE CANADA‎‏''‏'									
💪💪💪💪💪🧡🧡🧡🧡💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪									
Mbaye Pékh 😭😭😭😭😭alal diaar na li 😭😭😭li ma geuneu moy genrou pa yi ngay guiss ci événements religieux ,courses hippiques , lambeu ect....									
Année prochaine u p dire à marieme faye Sall de nous nettoiye nôtre palais et rangé vos bagages parce que tonton sonko arrive									
Bilaye walaye meusso am fite gnoune kham nagne la boubakh									
Regarde Mbaye pekh le grand n’importe quoi									
