Text	French	Wolof	Sereer	English	Arabic	Emoji	Pulaar	Other	Notes
'Vous avez intérêt de faire mieux car vous n''êtes plus considère les mamans et les papa serréres ont vu leurs enfants grandir pour s''occuper de ses vautours '	2								
tout a fait faut aucune trace de verité	2								
'Vainqueur poids légers sur MODOU DIAM TERRI bou POINTE SARRÉNE, GALA de DIAK''S 21 mars TERRAIN GALGUI #LAMYN_TV #TACTIQUE_PHYSIQUE_TECHNIQUE'	2								
'Lutte 100% LAMYN TV CHEIKH DIAGNE bou NDOFFENE DIAKHAO SINE Vainqueur poids légers sur MODOU DIAM TERRI bou POINTE SARRÉNE, GALA de DIAK''S 21 mars TERRAIN GALGUI #LAMYN_TV #TACTIQU'	2	1							
Félicitations et bonne continuation mon petit té mou djigue la	2	1							
Félicitation	2								
XXXX									
'Félicitations , c''est un champion complet'	2								
Félicitations champion et bonne continuation	2								
Courage jeune frère	2								
Bravo petit	2								
Félicitations	2								
Bravo mon champion bon continuation	2								
Félicitations	2								
'Courage encore et encore ,c''est possible et tu peux...'	2								
Bne continuation	2								
Félicitations diambar et courage	2								
Waww fofou nioko mome lafff thiattt rekk fils . Borome diom meuna beure hale bou ndaww	1	2							fils not doom
Courage mon frère	2								
Fierté du sine	2								
Félicitations Mbeur bon courage et bne continuation rek	2								
Félicitations	2								
Athia beure bonne continuation	2	1	1						athia
Félicitations et bon vent	2								
Sonko persidan Sénégal kou bokoul si khtem mou rendila		2							
Que des experts	2								
'Sonko rèk ci khôl yi . Que personne ne vous détourne de l''essentiel .'	2	1							
XXXX le peuple a démontré son choix	2								
Clair....	2								
Vérité absolue	2								
Qui da biri wax rek		2							
Hou exct ki bilan pastef consernewoula culte Ousmane sonko mome la concerné Du moment que dou franc maçon	2	1							
'Merci XXXX de l''analyse.'	2								
Loumouye wakh ak loumouye doundou dou bene		2							
Lou léré ga wakh		2							
yene ay dof ngene ta raciste		2							raciste
Wakh nga lou lére		2							
'C''est oas vrai. Sonko massouleen wone ni ibadou la. Yenenako def ibadou ak salafiste si seni touma. Touma lawoon teh guisnane fimou moudié. Sonko limou done sounou yoone nekoussi. Yaw procès d''intention ngay def. sois objectif.'	1	2							proces d’intention
Des journalistes manipulateurs et mercenaires chasseurs de primes.	2								
Deeg nékhoul mais politiciens yeepaa yeem senn intérêt rekk rée bilay nagnou kham nii loudoul deeg akk Ndioub ngouram yaggoul amoul Kimaa sii wollou gnimaa wollou kaay gnoy sounou wassilleu yii ngaa kham nii gnogno gnouy wakh lii dieeum sii yalla dignou takha ragalko téee dii sorallé yawmal qiyam comme kii melle nii CHEIKHOUL KHADIM,AKK MAODO MALICK SY akk mbépoum senii Ndiaboot...Mais bilahii gnii dii politiciens yii kouleen top dinagne laa wakhlo lilaa waroul mbaa lingaa khamoul...Tée lolou nafikk eupouko...Konne nagne déllo waatt sounou khell wassalam... DIEUREDIEUF BAYE NIASS	1	2			1				bilahii
TT LES POLITITIENS SONT DES MENTEURS	2							1	
XXXX sonko le premier	2								
Deglouléne reck bakar la ndakh il y a des mensonges uniquement , rien que dire du mal sur sonko pour plaire a macky sall	2	1							il y a des mensonges
Un seul mensonge est égal à 10 fornications . nagne ci bayi xel	2	1							heavy French some Wolof
Très belle analyse vrai 	2								
'Cet homme n''est qu''un grand menteur sortez une vidéo où Sonko dit qu''il est Ibadou moi Sarr je quitte Pastef.'	2								
'C''est un vrai menteur sa fait partie de leur plans de Adji Sarre on a tous compris ils sont tous des embesillrs'	2								
'Monsieur, si un homme a un Marabout alors il n''a plus de té'	2								
XXXX qui ta dit elle est serere sante Sarr tahoul ngua nek serere sante dekoul feine wasalam	1	2							heavy Wolof some French
Chietané bou doh sikawe sou moy adji Sarr mi béne amouloko		2							
'qu''Allah la protège inch''Allah'	2				1				
'XXXX arretetrès tes impolitesses. Tes parents ont oublié de t''eduquer. Je sais que tu es un enfant hors mariage. Sa yaay degnouko eumbeulone. Domi njaalo nga. Donc tu n as pas droit à la parole. Ok???'	2	1							
O bug xaliis waree tax o mabaa			2						
XXXX XXXX(ser) wo a thiaga refoo o mamap refo			2						
XXXX wasanaxoong mi kaam dowaa jeg xa piy			2						
XXXX wasnoukhirong adji sarr mothiong fouf wo vrais nafekh refo			2						
Kaam cooxtaa a lalgand			2						
XXXX fi a ngoor i ndefee leng			2						
XXXX I ndef kè leng mouk mi adji sarr damtoum ndakh andamè sonko vrais domaram la		1	2						vrais
XXXX mi fariim fo olenge roog soom Andu olenge wagee onax aroog			2						
XXXX kone khar takhou o layayè boug khaliss waree tagm o mabaa to dara worerang no ke khew na ? parsk adji sarr dieguè doller rek nou mbenane . serere wee o ndakar ndef nous ndef des objets sexuel olofwè ndama noune nuit et jours adji sarr au moins a le courage de denoncer sonko	1		2						parsk* objets sexuels no equivilant, nuit et jours, dolle
	148	44	26	0	2	0	0	1	0
XXXX mi layaxoong ee kaam cooxtaa alalgand afelangirang waasanaam									
Wo wagiro bind a seereer too o réf seereer mi seereer il dol wanaa									
Yéreume nako sakh déyssane el é vrémen immature									
Mane dall warouna vs ki êtes contre 7 pauvre fille khana nékoleen Aÿ sérère guéne di wakh wakhou nafëkh mandou le en keen fékéwouko loudoul niom niarr aak yalla tite na man si groupe bi esk amoul aÿ soi disant srrr									
XXXX nga balma mais fi nafékh nekou fi bouniou neké ay serrér nag basi lo beug niitt dal marr nan boumla taxa nan peutit robinet tidji nga rouss entre mom ak soncko kén xamoul yalla reka xam mais wax deuguin la ladje bo guisè situation bi nimou demé rek Warnga xam niatta djiguén laniou violé baparé reylén té béni autorité waxousi niatta étudiants laniou Rey sandilén si canal té moudjoul fén et une simple adji Sarr bi beug Tass souniou rew reylo Ay domou diambour legui ana foula bouniou don wax si serrer yi ana djom ba ana fayda ba moi même j''ai honte atank fille na bayi thiaxan un point c tous'									
