Text	French	Wolof	English	Arabic	Emoji	Sereer	Pulaar	Other	Comments
N’es pas maky dou guewelame nïo fi nekhe di khambe et il dit rien lui et le procureur allon sy rek toujours diola serere depuis le début de l’histoire bakhena	2	1							
Ay logement sociaux lagnou wara def UCAD		2							logement sociaux
'Ça va très mal dans le pays. Il faut que cela s''arrête le plus rapidement possible, le Sénégal a toujours été préservé des problèmes éthniques, mais à cause de ces "autorités ibliss" , nous sommes sur le point de perdre l''un de nos plus précieux apanag'	2	1							autorites iblis→ Wolof (in dictionary)
Macky Sall tu es responsable de tout	2								
Que dieu nous protège	2								
Ou va mon beau pays prions ensemble pour sa séche	2								
Leup Macky Sall la		2							
XXXX pourquoi	2								
XXXX mom ak ay ministère yi gnoko fi commencez		2							ministere
XXXX wakhe na deug ndakhe bou wakhoul si université bi dina eupi loko		2							
Toutsa se macki sal	2								
Choquée	2								
'Pourquoi c''est gens-là ment comme ça'	2								
Allons rèk. Pourtant SENGHOR fils de SERÈRE Père la Nation Sénégalaise a dirigé le pays durant 19 ans dans la cohésion ethnique mais il a fallu que Ce fasciste se SONKO pointe le bout de son nez pour diviser notre pays .	2								
XXXX lep sonko la domeram la nitou aye		2							
XXXX bolé ci sa badio yaye		2							
XXXX sonko boys you rew yi motah dolene diot dédieuw ndayam amo lene foleni tahaw kelk boy town sans carte electeur teki wolene dara		2	1						sonko boys, boy town, English inflection, not electeur
'XXXX j''espère que t testicules ont déjà tombé'	2								
XXXX nekal nitt, Yangui melni boy bou am 15ans yeuf haleyi moy Lane et dire que Pds nga bok ??		2							boy Wolof here though
XXXX sa slipou yaye lougn si bind		2						1	
XXXX yene da ngene hamadi hamolene politique nioro lene nga fok nè nioune nene diokh souniiou rew sonko sene affaire de révolution yi aye doule la amo lene fit bouma nekone macky kou wah ma dohane ndayam si kasso fatè la macky aka bah sax sous région bi nieupa niè sènègal nah macky yene ngene niou beugeu fonto sonko foumou tothie na rampè tapète bi niémè woul sax kasso	1	2							affaire de revolution
XXXX yene amo lene foleni tahaw da ngeni dieulè rek moi je suis apr kene meunou masi dindi sènègalais mo amoul foumouye tahaw	1	2							moi je suis apr kene meunou masi
XXXX tayal na dagal sa ndaye sax yak salive la warouma sax nek fi di tomtontè ak wa sonko manquant yi	1	2							salive, sonko manquant not common Wolof, compounding
XXXX fi kounek ak ko far waye sonko mome saway douniou djitè inchalah ba 2024 dess na dé		2							
'XXXX sa bay ak sa ndayy nio''la tognn parceque niom''nio diour kouy saga, waayè dou Sonko.'	1	2							parceque
XXXX sa slipou yaye ngandé na dekon texte bi yeup legn si bind		2						1	texte bi → Wolof
'XXXX même quand l''équipe nationale perd un match on accuse sonko c''est pas sérieux arrêtez'	2								
'XXXX doul yak Senghor il a retardé le pays emprisonné Mamadou Dia combattu les peul de l''autre rive cédant leur terre a la Mauritanie'	2	1							
'XXXX Mon Frère c''est Allah ki donne le pouvoir et il ne l''a pas donné à Mamadou Dia parcequ''il ne devrait pas l''être. SENGHOR été le fondateur de la République du Sénégal si tu veux pas l''accepter tu déménage wala ngâ clamé Yà Allahû'	2	1		1					Walla nga calme ya allahu
XXXX sou katé sa yaye sakh mom laniouy votel		2							Votel → wolof
'XXXX Bayilen nafekh, ki Def mbirmi bim Kay Def sonko fegnul. Wakhlen ak s''en président bobou.'		2							
'XXXX va te faire foutre sonko n''a rien fait. Yénako beugue def reubelle ou ibadou alors qu''il ne s''est jamais prononcé sur ça. Fi problème ethnique soufi amé rek président macky sall ak wa bby nioko fi andi'	1	1							tie
Katal sa ndeye feulé, doméram, le gouvernement depuis niofiy wakh wakhou ethnies	1	2							nested french
Non Sènègal ne mèrite pas ça	2								
'Nafek bou mak by, avec tout les preuves, vidéos, ecrits et audios, le ministre de la justice et madiambal ect.. vous pensez que les Senegalais sont bêtes, s''il veut la guerre civile dinako am, macky meunoul yak rewmi'	2	1							s’il veut le guerre civil dinako am
XXXX bakho léne thi rewmi, depuis by macky ngieuwé la rewmi yakou, wakhou ethnies meussoul am Sénégal 		2							ethnies no equivalent
Franchement bayilene leçons de morale yi car loumgene nekker kene khamouko.	1	2							
elle a parfaitement raison deug nehoul	2	1							bayilene lecons de morale yi car loumgene
'Toujour détail''.le Sénégal n''appartient à sonko ni adji sarr.foutez nous la paix.!souniou gal émergent vive les charrette mbam'	2	1							
'2024 lors de la Prestation de serment vous allez tous pleurer en cachette ! parler jusqu''à vomir , n''empêche la jeunesse est avec lui et Inch''Allah nous le porterons à la Magistrature suprême ! Seul ses compétences nous intéresse , il n''a jamais volé un sous des Sénégalais ! Vendu que vous êtes !'	2								
'Sonko n''a jamais prononcé ou dire quelque part que je suis ibadou ce sont les gens qui lui ont qualifiés de ibadou à travers son comportement....kon na leer dé avec vos mensonges'	2	1							
Mais Sénégal esk kham naniou louy démocratie dama diomi Kate daguay wakh louma arrangéwoul ma saga bagua toye khép c grave	1	2							esk?
XXXX super grave même	2								
'J''aurai aimé que tu sois dans le cas de celui que la jeunesse a choisi Tu gagneras plus au lieu de défendre ce qui est indéfendable'	2								
'Arrêtez moi ce scénario . Le pays risque de plonger vers un chao total . Nous avons d''autres chats à fouetter .'	2								
Mdrrr ki APR le bokk faut préciser tamit...elle fait parti des menteuses professionnelles c tout,féneu rek fo meusseu dégue ci adouna sonko ni ibadou le?pffff	1	2							
mais lan moy différence entre ibadou ak kou doul ibadou islam musulman la kham mais pas ibadou li dagan wala mou haram si ibadou bi mo dagan wala mou haram si joulit yeum wakhal si droit peut-être mom ga kham khamo droit islam	1	2		1					haram, ci droit, mais
'Il faut avoir une attitude respectueuse avant de se présenter devant les caméras !tes cheveux bleu et autres du n''importe quoi'	2								
'XXXX c''est un foulard '	2								
Rousna commentateurs yi sinon ma xorom		2							sinon
XXXX JUSTICE POUR SOKHNA ADJI RABY SARR MOU SELL MI  JE SUIS ADJI SARR	2	1							
'On s''en fout de ça qui t''a demandé tout ça c''est ton problème à toi ibadou ou pas on lui votera vos cœurs noires vont brûler'	2								
Elle fait partir l équipe d ASC ADJI sarr	2								
mais femme bi elle palpite na setti cardiologue ki dey danou xol bou tangu bahoul d	1	2							femme bi
XXXXJUSTICE POUR SOKHNA ADJI RABY SARR MOU SELL MI  JE SUIS ADJI SARR	2	1							
XXXX dafa lerr 		2							
Ki déh bamou démé jiakarloo bi Tfm lako bayi : Bouba hihi Bouba hihihihihi hihi . Personnalité zero	1	2							
'Ne nous fatiguée. Ce qui nous intéresse est que y a pas viol. Un point c''est tout'	2								
Pertinente madame tu as montré les points de réflexions	2								
Han ok donc iow boy dem si docteur tu lui demande son âge et et nombres d’années expérience? 	2	1							
Nous ona finir avec Sète dossier na noyé 	2	1						1	
Comme faire pour avoir un âne et une charrette, il est temps que je me reconvertisse ?	2								
XXXX JUSTICE POUR SOKHNA ADJI RABY SARR MOU SELL MI  JE SUIS ADJI SARR           	2	1							
XXXX ndank rek grand khoulo wouma khékhouma damay lathié ndakh mane sama avenir moma yitel	1	2							avenir
Sonko aka mena violer		2	1						Violer = wolof
'Wahlén si 24 mbam yi ministre de l''emploi diokh wa Diourbel'		2							ministre de l’emploi
Chim waro won mourou dh chim		2							
Bayil dole		2							
Quel domeram elle a du mal à se respiré	2	1							
Tu es plus belle quand tu te tais	2								
khana badienou adji sarr sarr le vieille cloche qui ta sonne?	2	1							
XXXX tas mère	2								
Svp chaque jour vous inventé quelque chose vous n éte pas honte	2								
Elle a quel diplôme elle ?	2								
XXXX thiagatou		2							
XXXX elle est juriste j pense bien Elle m plaît cette femme,sa façon de parler	2								
XXXX je pense pas frere ce qu’elle dit va contre sens. Il y a des gens qui pensent pour présidentiable tu dois être un prophète. Et son histoire ibadou et autre ça vient faire quoi ici 	2								
'XXXX j''ai pas dit ce qu''elle dit est vrai mais sa façon de parler m plaît Hier je l''ai suivi sur SenTv Maintenant ce qu''elle dit est loin d''être fondé'	2								
XXXX a ok franchement elle fait peur 	2								
'XXXX ça se comprend c''est de bonne guerre: c''est la politique Mais j''aurai aimé qu''elle soit dans le cas de celui qu''elle critique'	2								
XXXX bilahi mais au moins si elle est juriste elle aurait simplement du faire une analyse critique mais fondée c’est ça qui différencie les plateaux européens et ceux de chez nous.	2							bilahi	
'XXXX non parce qu''elle est au solde de son maître Macky'	2								
Salafall day		2							
	135	97	2	2	0	0	0	3	
Avec ces cheveux come une pute	2								
XXXX JUSTICE POUR SOKHNA ADJI RABY SARR MOU SELL MIJE SUIS ADJI SARR	2	1							
Hawbarayi lounouy wakhni tmt		2						1	
Girl tu na rien compris you need help il ya des gens bizard	2		1						
Paix à son âme	2								paix a son ame
Paix à son âme	2								
Paix à son âme	2								
Paix à son âme	2								
Repose en paix	2								
rip			2						
paix à son âme	2								
Repose en paix	2								
Paix à son âme	2								
Yalnako yalla yereum té kharé ko aldianay firdawss		2							
Yalla naco yalla yeureume kharéco aldiana firdawsi		2							
Pais a son âme	2								
Paix à son âme	2								
Paix à son âme	2								
https://youtu.be/nUZQ4plzdXY YOUTUBE.COM Affaire Sonko : Maitre El hadji diouf néna niou cottigé xaliss diokh mou bayi lépou 😂😂gui mari et..Affaire Sonko : Maitre El hadji diouf néna niou cottigé xaliss diokh mou bayi lépou 😂😂gui mari et..		2							Affaire Sonko→ wolof noun
Repose en paix	2								
Paix à son âme	2								
Paix à son âme	2								
Paix à son âme	2								
Paix à son âme	2								
Paix à son âme que le paradis soit sa demeure éternelle AMINE si BARKÉ SEYDINA MOHAMED PSL	2	1							
Paix à son âme	2								
Rip			2						rip
Paix à son âme	2								
Paix à son âme 	2								
Repose en paix	2								
'Svp c''est qui ? Yallah nako yallah yereum ceh khareko aldiana'	1	2							
Paix à son âme	2								
Paix á son âme	2								
Repose en paix.	2								
Paix à son âme	2								
Paix à son âme	2								
Paix à son âme	2								
Paix à son âme	2								
Repose en paix	2								
Paix à son âme	2								
Paix à son ÂME	2								
Paix à son âme	2								
Paix à son âme yaraby	2			1					yaraby
Paix à son âme	2								
Paix à son âme	2								
Rip			2						
Yala na firdawsi done keureum borom bi ateko si yeurmandem		2							
Au Stade Saïd Mohamed Cheikh, la sélection entraînée par Amir Abdou a fait match nul 0-0 face aux Éperviers	2								
'Les Comores se qualifient pour leur première CAN Un match qui était très attendu. Opposés au Togo ce jeudi, dans le cadre de la cinquième journée des éliminatoires de la CAN 2021, qui aura lieu en janvier prochain, les Comores n''avaient besoin que d''un point pour se qualifier pour la première fois de leur histoire à la Coupe d''Afrique des'	2								
Le Non du stade est stade de Malouzini	2								
C’est un exploit retentissant, majuscule, monumental. Le fruit d’un excellent travail depuis des années	2								
CAN 2021 : La Gambie qualifiée pour la première fois de son histoire ! La Gambie vient d’inscrire son nom au panthéon du football africain. Ce jeudi, les Scorpions, sensationnels depuis le début des qualifications, ont créé la surprise, en se qualifiant pour la CAN 2021. Une première dans leur histoire. Un exploit énorme C’est un exploit retentissant, majuscu	2								
'Depuis le début des années 2010 on voyait déjà l''évolution du football gambien.Cette qualification ne me surprend pas du tout'	2								
Je leur souhaite bon vent et une belle prestation.	2								
congratulation			2						
Bravo	2								
Félicitations	2								
Alhamdou lilaah comme que Gambie qualifiée na kon Sénégal moy Dieul coupe bi inchaalahh	1	2							
XXXX sure as a Gambian I see that hope for senegal is time now for senegal to make history too			2						
'euh c''est bientôt la fin du monde donc'	2								
'C''est mechant'	2								
Pathic								2	
Bravo	2								
Toute les félicitations à mes frères Gambien	2								
Congratulations to the scorpions of the Gambia			2						
Toutes mes félicitations	2								
XXXX tu as intérêt goro Gambie	2	1							
XXXX bien sûr									
Nous tous nous sommes des gambies	2								
félicitation	2								
Les comores aussi	2								
Coungratulation scopions			2						
Bravo à la Gambie	2								
Congrats mother land 			2						
Machallah XXXX		1		1					
Ndeysane gamou ndar. Serigne babacar daan na wakh, talibé mame maodo warul du raté gamou gui		2							
Machala		1		1					
Machaallah		1		1					machalla
Mashalla		1		1					
Machalah syyyyy		1		1					
Wawawwww		2							
Ma challa		1		1					
Bien	2								
'Marabout GBETONDJI WHATHSAPP:+22960844498 / 0022960844498 met a votre dispositions Retour de l''être aimé/ Retour d''affection en trois jours, Porte monnaie magique / Porte feuille magique/ -bague magique ,gagner aux jeux de hasard-/parfum ou savon de'	2								
Les premières images de Souleye Diop et Abass Sall à leur sortie de la prison de Sébikhotane(Vidéo)	2								
Les premières images de Souleye Diop et Abass Sall à leur sortie de la prison de Sébikhotane(Vidéo) Abass Fall et Birame Soulèye Diop sont libres, depuis ce jeudi matin. Les responsables de Pastef, arrêtés il y a plusieurs semaines ont bénéficié d’une libération provisoire. Pour rappel, ils ont été arrêtés à la veille de l’interpellation du leader de Pastef Ousmane Sonko.	2								
Les patriotes sont forts et resteront forts à toutes les épreuves. Vive le Pastef.	2								
XXXX les insulteurs	2								
XXXX dafa lére		2							
Pastef, le pays a besoin d’une opposition forte: diangg-lenn le langage et les tactiques démocratiques, ngenn bayi you terrorisme ak MFDC.	2	1							Diangg-lenn le langage et les tactiques
XXXX bayile fen mak nga		2							
XXXX rebelle insulteur	2								
XXXX, Tu confirmes ce que j’ai dit: langage insultant, tactique anti-démocratique, terrorisme et MFDC.	2								
'XXXX tu traites les gens de rebelles et tu veux qu''on te complimentes ? Le respect est réciproque et il se mérite. Point barre.'	2								
XXXX, Je m’en fous éperdument de votre respect. Les gens que Soulèye et ses compères ont menacés, menaces qui les a conduits en prison, c’est leurs interactions avec ceux-là qu’ils doivent apprendre à respecter ou quitter l’arène démocratique. Le discours qui se tient au Pastef est terroriste et MFDC et je ne parle pas de la rébellion mais des terroristes qui ont par exemple exécuté 14 de leurs compatriotes Casamançais dans la forêt du Bayotte en 2014, ce genre de terrorisme.	2								
XXXX mané bayile fén grand frér nga	1	2							grand frer nga
XXXX dnc ya un autre de dire une vérité ?? Vraiment sénégal ayy doff beuri nagn fi Toi qui nous taxe de rebell ya wara diokhé conseil WTF	1	1	1						no majority
XXXX quel mensonge	2								
Courage à vous	2								
On vous eme beaucoup Longue vie Président	2								on vous eme
Alhamdoulilah		1		1					
	146	36	18	8	0	0	0	3	
'Je ne sais pas ce qu''il dira à son épouse'									
Général Respais									
Le combat continue									
Soutien totale a vous									
Liberez aussi les jeunes inconnus du Grand public									
'Libérez les étudiants, on s''en fout thi souley Diop, fy séne ay fans nékou nioufy'									
Justice pour adji sarr									
Les insulteurs									
Senego abridged 2	146	36	18	8	0	0	0	3	
Senego abridged 1	135	97	2	2	0	0	0	3	
Senego abridged total	281	133	20	10	0	0	0	6	
									
Seneweb totals	131	83	3	1	32	0	0	8	
Senegal National Facebook totals:	412	216	23	11	32	0	0	14	
